商品名,リードタイム(日),安全在庫日数,単価,個/ボール,ボール/ケース,ケース/パレット
プレミアム緑茶ティーバッグ50P,5,21,980,50,12,40
有機抹茶パウダー100g,7,30,1280,1,24,60
国産ほうじ茶ティーバッグ30P,5,21,680,30,12,40
コールドブリューコーヒーバッグ10P,7,21,1480,10,12,30
オーガニックルイボスティー20P,10,30,880,20,12,40
無添加野菜ジュース200ml,4,14,180,1,24,60
豆乳プレーン200ml,4,14,148,1,24,80
ミネラルウォーター500ml,3,14,98,24,20,40
スパークリングウォーター330ml,3,14,128,24,20,40
グラノーラ 400g,7,21,880,1,12,30
プロテインバー チョコ味,7,30,280,12,6,20
ナッツミックス150g,7,21,680,1,12,40
ドライフルーツミックス100g,7,21,580,1,12,40
オートミール500g,7,21,780,1,12,30
玄米パスタ200g,7,21,480,1,12,40
モイスチャーフェイスクリーム50g,14,30,3200,1,12,30
ヒアルロン酸美容液30ml,14,30,4800,1,12,30
SPF50日焼け止めクリーム60g,14,30,2200,1,24,40
拭き取り化粧水コットン60枚,10,30,880,1,12,40
保湿フェイスマスク5枚入,10,21,980,1,20,50
クレンジングオイル150ml,14,30,2800,1,12,30
泡洗顔料150ml,14,30,1480,1,12,40
アイクリーム20g,14,30,5800,1,12,30
フェイスパウダー10g,14,30,2600,1,12,30
リップバーム4g,10,21,880,12,6,30
シャンプー詰め替え400ml,10,30,1280,1,12,40
コンディショナー詰め替え400ml,10,30,1280,1,12,40
ボディローション250ml,10,30,1580,1,12,30
ハンドクリーム60g,10,21,980,1,24,50
入浴剤アソート10包,10,21,1280,1,12,30
マルチビタミン30粒,14,45,2480,1,12,40
ビタミンC1000mg 60粒,14,45,2980,1,12,40
鉄分サプリ60粒,14,45,2280,1,12,40
プロバイオティクス30粒,14,60,3800,1,12,30
コラーゲンペプチド 60粒,14,45,3200,1,12,30
オメガ3フィッシュオイル60粒,14,45,3600,1,12,30
マグネシウム補給サプリ90粒,14,45,2680,1,12,30
葉酸サプリ90粒,14,60,1980,1,12,40
亜鉛サプリ60粒,14,45,1980,1,12,40
酵素ドリンク500ml,10,30,1980,1,12,30
使い捨て手袋(S) 100枚入,10,45,880,1,20,60
使い捨て手袋(M) 100枚入,10,45,880,1,20,60
使い捨て手袋(L) 100枚入,10,45,880,1,20,60
サージカルマスク50枚入,7,45,1280,1,20,60
アルコール消毒液500ml,7,30,780,1,12,40
アルコール消毒液詰め替え1L,7,30,1280,1,12,30
体温計(非接触型),21,60,3800,1,12,20
血圧計(上腕式),30,60,8800,1,6,20
パルスオキシメーター,21,60,4800,1,12,30
救急絆創膏アソート100枚,10,45,680,1,24,50
液体ハンドソープ250ml,7,30,480,1,12,60
除菌シート80枚入,7,30,380,1,20,60
キッチン用漂白剤600ml,7,30,328,1,12,40
洗濯洗剤液体800g,7,30,598,1,12,30
衣料用柔軟剤600ml,7,30,498,1,12,30
食器用洗剤250ml,5,21,278,1,12,60
トイレットペーパー12ロール,5,21,980,1,8,30
ティッシュペーパー5箱パック,5,21,598,1,8,30
キッチンペーパー4ロール,5,21,398,1,12,40
ラップフィルム30cm×30m,7,21,248,1,12,40
ポリ袋30L(50枚入),7,21,198,1,20,60
シャープペン 0.5mm,7,30,280,12,10,30
ボールペン(黒) 0.7mm,7,30,180,12,10,40
蛍光ペンセット5色,7,30,480,12,8,30
A4コピー用紙500枚,5,30,680,1,10,30
ノート B5 30枚,7,21,198,10,6,30
付箋紙 75×75mm 100枚,7,21,248,12,10,40
クリアファイル A4(10枚入),7,21,398,1,12,40
ステープラー(標準型),14,45,880,1,12,30
はさみ(事務用),14,45,580,12,6,20
テープのり(コンパクト),10,30,320,12,10,40
USBケーブル Type-C 1m,14,45,980,1,12,30
充電器 USB-A 2ポート,14,45,1580,1,12,30
モバイルバッテリー 10000mAh,21,60,3980,1,6,20
ワイヤレスイヤホン(片耳),21,60,4980,1,6,20
スマートフォンケース 汎用Mサイズ,14,45,1280,1,12,30
液晶保護フィルム 汎用6.1インチ,14,45,880,1,20,40
Bluetoothスピーカー ミニ,21,60,3480,1,6,20
乾電池単3形 4本パック,7,30,498,1,20,60
乾電池単4形 4本パック,7,30,498,1,20,60
LEDライト 電球形 60W相当,14,45,880,1,12,30
カラーTシャツ S,21,45,1980,1,6,20
カラーTシャツ M,21,45,1980,1,6,20
カラーTシャツ L,21,45,1980,1,6,20
カラーTシャツ XL,21,45,1980,1,6,20
トートバッグ(コットン) S,21,45,1480,1,12,20
トートバッグ(コットン) M,21,45,1680,1,12,20
ソックス 3足セット(25-27cm),14,30,880,1,12,30
ソックス 3足セット(27-29cm),14,30,880,1,12,30
スポーツウォーターボトル 600ml,14,45,1980,1,12,20
折りたたみ傘(自動開閉),14,45,2980,1,6,20
ステンレスタンブラー 350ml,14,45,2480,1,12,20
エコバッグ(折りたたみ),14,30,880,1,20,40
ヨガマット 6mm,21,60,3980,1,4,12
フォームローラー 45cm,21,60,2980,1,6,16
レジスタンスバンドセット,14,45,1980,1,12,24
ジャンプロープ(カウンター付),14,45,1580,1,12,24
